"1,000 kg banned plastic seized from Saravana Bhavan in Chennai","Tamil Nadu food safety officials on Wednesday raided and seized 1,000 kgs of banned plastic items from Hotel Saravana Bhavan in Chennai's Vadapalani. Officials began a surprise check in the branch at 8 am. The state government had banned single-use plastics from January 1 and said the banned items should be handed over at the offices of the city corporation."
"Shamita Shetty abused, driver slapped after accident: Report","Actress Shamita Shetty was verbally abused and her driver was slapped in an incident of road rage in Mumbai on Tuesday, as per reports. The incident reportedly took place after a motorist who was accompanied by two friends, rammed his vehicle into Shamita's car. The men allegedly manhandled and threatened Shamita's driver when he stepped out to inspect the damage. "
Trolling has become the norm on social media: Vaani,"Actress Vaani Kapoor said that trolling has become a norm on social media, adding, ""There's no one who hasn't got trolled on social media."" ""Everybody is out there to pull the other person down but it'll only bother [you] if you let it bother you,"" Vaani added. She further said, social media offers a platform ""where people enjoy belittling everybody"". "
Whoever invented marriage was creepy as hell: Sushmita posts joke,"Actress Sushmita Sen took to Instagram to share a joke on the subject of marriage. ""Whoever invented marriage was creepy as hell. Like I love you so much Iâm gonna get the government involved so you canât leave,"" Sushmita's post read. ""This is an insult to [the] beauty of marriage,"" an Instagram user commented on her post."
Actor Karanvir Bohra detained in Russia over passport damage,"Television actor Karanvir Bohra, who flew to Russia on Tuesday to attend a film festival, has been detained in Moscow due to passport damage. ""They [are] contemplating to deport me back to India,"" the actor wrote on Twitter. The Indian embassy in Russia's capital responded to his tweet and said that they were looking into the issue. "
"If I don't get an award, that award is at loss: SRK","While speaking about winning awards for his films, Shah Rukh Khan said, ""If I don't get an award, that award is at a loss."" ""Sometimes, the prestige of an award increases when I receive it,"" the actor jokingly added. Shah Rukh further said that he was ""extremely ambitious"" but in a ""fair manner"". "
Actress Patralekhaa to make her Kannada film debut ,"Actress Patralekhaa will make her debut in the Kannada film industry with the action-comedy film 'Where is my Kannadaka?' ""I can definitely say that itâs a kind of role that I havenât portrayed on screen so far and that makes it special for me,"" the actress said in a statement. Shooting for the film will reportedly begin in April."
"Gmail faces temporary global outage, users face '404 error'","Gmail on Tuesday faced a global outage, which also affected India, wherein certain users complained they faced a '404 error' message while trying to sign-in to their accounts. The error message read: ""The requested URL was not found on this server. That's all we know."" Google responded saying ""problem with Gmail should be resolved (now). We apologise for the inconvenience""."
Decide about an alliance within 15 days: Uddhav to BJP,"Shiv Sena chief Uddhav Thackeray has asked the BJP to decide about the alliance with the Sena within 15 days and said the BJP should make a concrete proposal on the alliance. Thackeray added that only if the BJP agrees to Sena's terms and conditions, the party will agree for an alliance. Sena is free to fight independently, he said. "
"Grand alliance, if wins, will see a new PM every day: Shah","BJP President Amit Shah on Wednesday took a dig at the Opposition's proposed grand alliance saying if the ""mahagathbandhan comes to power, each opposition leader will be a Prime Minister every day of the week"". He added, ""[The] country will go on...holiday on Sunday"". He said the Opposition is thinking about leading the country but does not have a leader."
Demonetisation made homes affordable for youth: PM Modi,"Prime Minister Narendra Modi on Wednesday said his government's demonetisation decision made houses affordable for the aspiring youth. He added decisions like demonetisation and RERA have put a check on black money that used to be ""parked in the real estate sector"". He said 'UDAN' (Ude Desh ka Aam Nagrik) scheme has boosted the development of the country's aviation sector."
Bosch makes its 1st India investment in IISc spinoff SimYog,"German multinational engineering and electronics firm Bosch has made its first investment in India in Bengaluru-based deep-tech startup SimYog. SimYog has raised about â¹6.3 crore in the funding round, with participation from early-stage venture capital firm Ideaspring Capital. Incubated at the Indian Institute of Science (IISc), it provides design and sign-off tools for automotive electronics."
Mumbai's talent tech startup Shortlist raises $2 million,"Mumbai-headquartered talent technology startup Shortlist has raised $2 million in a Series A round of funding. The round was led by Blue Haven Initiative, with participation from Compass Venture Capital, Zephyr Acorn among others. Founded by Simon Desjardins, Paul Breloff and Matt Schnuck, Shortlist screens candidates using predictive chat-based interviews and online competency-based assessments."
"MIT makes pill that expands in stomach to track cancer, ulcer","MIT engineers have developed a jelly-like ingestible pill that expands inside the stomach and can be used to monitor conditions like cancers and ulcers for up to a month. The pill, made using two types of hydrogels, is embedded with a sensor that continuously tracks the stomach's temperature. It can be removed by drinking a calcium-ion solution that shrinks it."
Brain signals converted directly into speech using AI: Study,"New York's Columbia University neuro-engineers claim to have developed a system that can convert human brain signals directly into speech using artificial intelligence. Researchers revealed a computer algorithm 'vocoder' was used. ""This is the same technology used by Amazon Echo and Apple Siri to give verbal responses to our questions,"" senior author of the study Nima Mesgarani said."
IIT Roorkee tests device to generate electricity from river flow,"A team of IIT-Roorkee scientists is testing a floating device that can generate electricity from flowing surface water of rivers. Instead of using water falling from height to turn turbines like in traditional dams, the prototype uses velocity of flowing river, professor RP Saini said. ""Flowing water can generate hundred times more power than wind of same velocity,"" Saini added."
US woman carrying baby dies after falling down stairs in subway,"A 22-year-old woman died after she fell down a flight of stairs in a New York City subway station while carrying her one-year-old baby in a pram. The station where she died didn't have elevators. Only about a quarter of New York City's 472 subway stations have elevators, making the rest inaccessible to people in wheelchairs and parents carrying prams."
Indian Oil third-quarter profit plunges 91% to â¹717 crore,The country's largest fuel retailer Indian Oil Corporation on Wednesday reported a 91% year-on-year decline in its net profit at â¹717 crore for the December quarter. The fall in profit came amid increased expenses which stood at â¹1.6 lakh crore and rise in foreign exchange loss. The company's domestic sales increased 2.8% from the year-ago period to 21.545 million tonnes.
People said I did bikini shoots anyway: Hansika on private pics leak,"Speaking about the incident when her private pictures were leaked online, actress Hansika Motwani said, ""Certain people [said] since I anyway did bikini shoots...what's the big deal if such pictures are leaked?"" ""When I do...bikini shoot, I'm doing it out of my own choice. Here it's being circulated without...consent,"" she added. Hansika said some of the leaked pictures were morphed."
Akhtar not criticising but personally attacking me: Sarfaraz Ahmed,Pakistan captain Sarfaraz Ahmed has said that former fast bowler Shoaib Akhtar was not criticising but personally attacking him over the four-match ban handed to him by the ICC over his 'Abey Kaale' remark on South Africa's Andile Phehlukwayo. Akhtar had said that Sarfaraz's comments were unacceptable and that he had gotten off easily with a four-match suspension.
Apple loses $5 billion in revenue from China last quarter,"Apple on Tuesday said its sales in China fell 27% in the December quarter, representing nearly $5 billion of lost revenue. Apple's overall revenue fell 4.5% to $84.3 billion during the quarter while profit fell slightly to $19.97 billion. Notably, the iPhone maker reported a decline in both revenue and profits for the first time in more than 10 years."
"Activist says 'Wait till Rahul also promises free sex', criticised","After Congress President Rahul Gandhi's recent poll promises like Minimum Income Guarantee and women's reservation, scholar and activist Madhu Kishwar tweeted, ""Wait till Rahul Gandhi also promises free sex for every adult male for a certain number of days every year!"" Several people criticised her for the remark, with one saying, ""I can't believe you have written it. Stumped. Sad."""
"Don't politicise visit to Parrikar, BJP minister tells Rahul","After Congress chief Rahul Gandhi claimed Goa CM Manohar Parrikar told him he had ""nothing to do with the new Rafale deal,"" BJP minister Mauvin Godinho asked Rahul ""not to politicise a courtesy visit."" Godinho added, ""It wasn't the right thing for Rahul Gandhi to do...When you come to enquire about a person's health, it should be limited to that."" "
"Ravana pushed sister Surpanakha into war, Rahul did same: BJP MLA","BJP MLA Surendra Singh on Wednesday compared Congress President Rahul Gandhi and his sister, Priyanka Gandhi, to 'Ravana' and 'Surpanakha' from Ramayana. ""Just how Ravana pushed his sister Surpanakha in the war ahead of him, Rahul Gandhi has pushed his sister (Priyanka) in the fray...We are blessed with a leader like (PM) Narendra Modi,"" Singh said."
"Pay â¹25,000 to contest LS polls: AIADMK to ticket seekers","All India Anna Dravida Munnetra Kazhagam (AIADMK) has told party leaders who want to contest the upcoming Lok Sabha polls to pay â¹25,000 while submitting their application forms. The fee is applicable for a total of 40 seats in Tamil Nadu and Puducherry. AIADMK had issued a similar notification for party ticket aspirants ahead of the 2014 Lok Sabha polls. "
Bodo outfit head gets life term for 2008 Assam blasts that killed 88,"A special CBI court in Guwahati has awarded life sentence to National Democratic Front of Bodoland founder and chief Ranjan Daimary and nine others in connection with the 2008 Assam serial blasts, which killed 88 people. Around 11 bombs went off across Assam in the attacks that took place almost a month before 26/11 Mumbai attack."
"Don't play around with the law, SC warns Karti Chidambaram","The Supreme Court today allowed former Finance Minister P Chidambaram's son Karti Chidambaram to travel abroad but warned him, ""You can go wherever you want...but don't play around with the law."" The court also directed Karti, an accused in the Aircel-Maxis case, to deposit â¹10 crore as surety and warned him of action in case of ""an iota of non-cooperation."""
Kerala Congress leader charged for raping girl for 1.5 years,"Wayanad District Congress Committee member OM George has been booked for allegedly sexually assaulting a minor tribal girl for one and a half years in Kerala. George, who is currently absconding, was suspended from the primary membership of the party. Meanwhile, the girl has been shifted to a government-run shelter home. "
I'm in full hosh: CM Parrikar presents Goa budget with tube in nose,"Goa CM Manohar Parrikar, who is also the state Finance Minister, presented the annual budget in the state Assembly on Wednesday with a tube in his nose. Suffering from a pancreatic ailment for months, Parrikar said he was in full 'hosh' (consciousness) after Goa Congress chief Girish Chodankar said the CM should come back to 'hosh' before speaking about 'josh'. "
"Delhi consultant accuses SpiceJet MD of cheating, police file FIR","The Delhi Police has registered an FIR against SpiceJet Chairman and MD Ajay Singh and seven other directors in a cheating case. A Delhi-based private consultant alleged that they used his services in the aviation sector, but did not pay his fees. ""The complainant has defrauded the company and is now filing frivolous complaints to extract money,"" SpiceJet said."
Anand Mahindra shares menu with dish 'delicious roasted husband',"Mahindra Group's Chairman Anand Mahindra took to Twitter to share the picture of a menu featuring a dish named 'Delicious roasted husband'. He captioned it, ""I'm certainly going to think twice about visiting this restaurant with my wife. Don't want her getting any creative ideas....!"" Reacting to his tweet, a user commented, ""Doesn't the wife roast the husband daily?"""
Deepika Padukone replaces Kiran Rao as chairperson of MAMI,"Deepika Padukone has taken over as chairperson of Mumbai Academy of Moving Image (MAMI), replacing filmmaker Kiran Rao, who served as chairperson for four years. ""I believe in MAMIâs vision and we are committed towards creating a community that cinema lovers and creators...truly deserve,â Deepika said. Kiran Rao reportedly stepped down as chairperson to focus on a film project."
"14-year-old son found FaceTime bug a week ago, claims mother",A 14-year-old US boy's mother claims he found Apple's Group FaceTime call bug over a week before it went viral while setting up call to play Fortnite with his friends. Grant Thompson's mother said she tweeted about the bug on January 21 but didn't receive a response from Apple. FaceTime Group calls were disabled by Apple pending a software update.
FB paid some users $20 a month to access their data: Report,"Facebook has been paying some users up to $20 a month since 2016 to install VPN app 'Facebook Research' to access their private data, according to a TechCrunch report. The program, that targets users aged 13-35 years through ads, reportedly accessed private messages, search history, and Amazon order history. Facebook said it'll remove the app's iOS version, the report added."
MISA detainees are not freedom fighters: Chhattisgarh CM,"Chhattisgarh Chief Minister Bhupesh Baghel has said that Maintenance of Internal Security Act (MISA) detainees are ""not freedom fighters"" and they should not get a pension. The state government on Tuesday ordered all Commissioners and District Collectors to put on hold disbursement of pension for MISA detainees from February onwards. The government also ordered their physical verification."
"Rahul Gandhi is a compulsive liar, says Goa CM's OSD","After Congress President Rahul Gandhi claimed Goa CM Manohar Parrikar had told him he had nothing to do with the new Rafale deal, OSD (Officer on Special Duty) to Parrikar, Prasanna Karthik called Rahul ""a compulsive liar."" Karthik accused Rahul of ""shamelessly"" lying about Parrikar after claiming he wanted to meet the CM to wish the latter a speedy recovery."
UP ministers took dip in Sangam to wash their sins: Rajbhar,"Uttar Pradesh minister Om Prakash Rajbhar on Wednesday took a dig at the state cabinet ministers who had gone to take a holy dip in the Sangam, saying that they were washing off their sins in the river. Rajbhar alleged that corruption in the present government was four times more than what it was during the SP and BSP governments."
BJP calls Tharoor's jibe at Yogi's holy dip 'unfortunate',"After Congress leader Shashi Tharoor took a jibe at UP CM Yogi Adityanath's holy dip in the Ganga, BJP spokesman Nalin Kohli said, ""This is very unfortunate."" Nalin added, ""An extremely educated and respected person like Tharoor always comes up with such kind of comments related to practices of the Hindu religion... Tharoor must show respect for other people too."""
"Gujarat govt asks Ola, Uber to start electric taxi services","The Gujarat government has asked ride-hailing services like Ola and Uber to start electric vehicle services. The state energy department, led by Gujarat's Energy Minister Saurabh Patel, is working on creating a policy to provide required infrastructure to mass-run electric vehicles. Patel said recharge stations with charged batteries will be available in a manner similar to existing petrol pumps."
Pics of asteroid that may hit Earth in next century released,"NASA's OSIRIS-REx spacecraft has sent the most detailed images of asteroid Bennu, which has a one-in-2,700 chance of hitting Earth in the next century as per NASA. The two images of the potentially Earth-bound asteroid's south pole were clicked from a distance of around 1.6 kilometres on January 17, NASA said. OSIRIS-REx has travelled around 2.2 billion km till date."
PM pays tribute to Mahatma Gandhi on 71st death anniversary,"Prime Minister Narendra Modi on Wednesday paid tribute to Mahatma Gandhi on his 71st death anniversary at his Samadhi in Rajghat, New Delhi. ""On Martyrs' Day, we gratefully remember Mahatma Gandhi and the countless freedom fighters who sacrificed their all for our Independence,"" President Ram Nath Kovind tweeted. Congress President Rahul Gandhi also paid his tribute to Mahatma Gandhi."
Venezuela bars self-declared President from leaving country,"Venezuela has barred Juan GuaidÃ³, who declared himself the interim President, from leaving the country and froze his bank accounts. He's prohibited from leaving for having ""caused harm to peace in the republic"", President of Venezuela's Supreme Tribunal of Justice, Maikel Moreno, said. This came after the US gave GuaidÃ³ the right to control Venezuela's bank accounts in the US."
Grenade thrown into mosque in Philippines; 2 killed,"At least two people were killed and four others were injured on Wednesday after a grenade was thrown into a mosque in Zamboanga, Philippines, authorities said. An unidentified assailant reportedly threw a grenade when about 10 people were sleeping. This comes days after explosions at a Roman Catholic cathedral left 21 people dead and over 100 injured in the Philippines."
Canada serial killer admits to murdering 8 men,"A serial killer in Canada has pleaded guilty to killing eight men, most of whom were linked to Toronto's Gay Village neighbourhood. Police had found the remains of seven men in planters at a property where 67-year-old Bruce McArthur worked as a landscaper. The cases allegedly involved sexual assault or forcible confinement and the bodies were dismembered."
"Deposit â¹10 crore, then go abroad: SC to Karti Chidambaram",The Supreme Court on Wednesday asked Karti Chidambaram to deposit â¹10 crore with the court registry as a precondition to his travelling abroad in February and March. The apex court further asked him to appear before the Enforcement Directorate in March regarding the Aircel-Maxis and INX Media cases. Karti had sought permission to travel abroad for various tennis tournaments.
Rahat Fateh Ali Khan gets notice for smuggling currency out of India,"Pakistani singer Rahat Fateh Ali Khan has been issued a show cause notice by the Enforcement Directorate (ED) for allegedly smuggling illegal foreign currency out of India for three years. Khan got $340,000 (â¹2.42 crore) through illegal means, of which he reportedly smuggled $225,000 (â¹1.6 crore). The ED has sought the singer's response within 45 days."
West Bengal groom arrives in road roller for his wedding ceremony,"Arka Patra, a 30-year-old groom from West Bengal, arrived for his wedding ceremony in a road roller on Sunday. ""I wanted to make my wedding ceremony memorable and unique. I could take a vintage car, but that would not be new,"" he said. Patra said his wife also agreed to his idea when he had discussed it with her."
Upset about my 'Manikarnika' scenes being removed: Actress Mishti,"Actress Mishti, who has featured in 'Manikarnika: The Queen of Jhansi', has said she's really upset about some of her scenes being removed from the film. ""After the movie, I didn't...speak to anyone. I just walked out of the theatre,"" she added. ""[From] a selfish perspective, as an artiste I think my character has turned into a caricature,"" said Mishti."
We were worried it'd backfire: Kartik on 'backfie' tweet on PM Modi,"Actor Kartik Aaryan, while speaking about the tweet in which he shared a 'backfie' taken by Imtiaz Ali showing PM Narendra Modi from behind, said, ""We were...worried [it would backfire]."" ""We were calling ourselves losers but agar wo galat le liya hota toh backfire ho jata,"" he added. Speaking about the PM's reply, Kartik said, ""Bahut hi...sweet sa tweet tha."""
Shraddha criticised for cultural appropriation in Ratnani's shoot,"Shraddha Kapoor has been criticised over cultural appropriation for wearing a Native American headdress in a shoot by Dabboo Ratnani. The shoot is part of Ratnani's 2019 calendar launched on Monday. Calling out Shraddha, Instagram page Diet Sabya wrote, ""The 'controversy' is part of a wider effort by Native American activists to highlight the ongoing cultural genocide against indigenous peoples."""
"Rahul's simplicity, humbleness should be admired: BJP MLA","After Congress President Rahul Gandhi met Goa CM Manohar Parrikar, BJP MLA Michael Lobo said, ""His simplicity, his humbleness has to be really admired by all the Indians and the Goans."" Lobo added, ""These types of leaders are required in Goa and India."" Rahul had said he made a personal visit to Parrikar's office to wish him a speedy recovery."
MP CM reinstates teacher suspended for objectionable post on Rahul,"MP CM Kamal Nath has ordered the reinstatement of a government school teacher suspended for an objectionable online post on Congress President Rahul Gandhi. Stating the suspension was ""contrary to his (Rahul's) way of thinking"" and ""to my way of thinking as well,"" Nath advised the teacher to read about the sacrifice of the Gandhi family to ""dispel any prejudice""."
Parrikar said he has nothing to do with new Rafale deal: Rahul,"Congress President Rahul Gandhi on Tuesday said, ""Friends...(Goa CM and former Defence Minister) Manohar Parrikar clearly stated he has nothing to do with the new (Rafale) deal that was orchestrated by PM Narendra Modi to benefit Anil Ambani."" The remarks comes after Rahul's meeting with Parrikar at the CM's office, which the Congress chief claimed was a ""personal visit""."
You want Ganga clean & also wash sins in it: Tharoor on UP CM's pic,"Congress MP Shashi Tharoor has shared an image of Uttar Pradesh CM Yogi Adityanath taking a holy dip at Kumbh Mela along with his Cabinet ministers. ""You want to keep the Ganga clean and also wash your sins in it. Everyone is naked in this Sangam. Jai Ganga Maiya ki,"" Tharoor's caption on the picture read."
3 women arrested in Karnataka temple prasad poisoning case,"Three women were arrested on Tuesday in connection with the poisoning of prasad at a temple in Chikkaballapur district, Karnataka. Two women had died while several other people were hospitalised with complaints of vomiting and loose motions. The police had earlier said the temple management was not responsible as the women had brought the prasad themselves and were distributing it. "
Pak-based terror groups will continue attacks in India: US intel,"The US intelligence's worldwide threat assessment report has stated terror groups supported by Pakistan will continue to conduct terrorist attacks in India and Afghanistan. It also warned of communal violence in India in view of the upcoming General polls. The report claimed communal clashes ""could alienate Indian Muslims and allow Islamist terrorist groups in India to expand their influence."""
"L&T's retired Chairman encashes unused leaves of 50yrs, gets â¹19 cr","Padma Vibhushan awardee and retired non-executive chairman of L&T Group, Anil Manibhai Naik, received at least â¹19 crore after encashing his accumulated leaves of over 50 years. The company also revealed Naik got â¹55.038 crore as gratuity and â¹1.50 crore as pension that is a part of his retirement benefit. Naik had joined L&T in 1965 as a junior engineer."
"3-yr-old's black jacket removed for Assam CM's event, probe ordered",A video of a mother removing black jacket of her three-year-old child on orders of security personnel before entering an event addressed by CM Sarbananda Sonowal in Assam has surfaced online. A policeman said they had been asked to not allow anyone to carry black items inside the venue. A probe has been ordered into the incident by CM Sonowal.
"2-yr-old kidnapped by woman in Gurugram, rescued within 5 hrs","A two-year-old toddler was allegedly kidnapped by a woman while playing outside his house with his 11-year-old sister in Gurugram on Tuesday morning. The woman took the toddler to her home after lying to his sister that someone was calling her inside the house. Meanwhile, the police rescued the toddler within five hours and arrested the woman. "
"Priest falls after garlanding 18-foot Lord Anjaneyar idol, dies","A 53-year-old priest in Namakkal Anjaneyar temple in Tamil Nadu died after he slipped and fell down from an 11-foot-high platform after garlanding 18-foot-high Lord Anjaneyar statue, officials said. The priest was critically injured and was hospitalised on Sunday but he succumbed to his injuries on Tuesday. An official claimed such an incident has not happened in the temple's history."
"MP to get 1,000 cow shelters to house 1 lakh cows by May","The Madhya Pradesh government will open 1,000 cow shelters to provide shelter to one lakh cows by May, a senior official revealed. The official added, ""The capacity of 614 private cow shelters would be increased to 60,000."" The scheme is the first of its kind in the state and is expected to cost â¹450 crore, he further said."
Not taken seriously by govt: Stats body chief quits over jobs data,"The only two non-government members of National Statistical Commission (NSC), including its acting chief PC Mohanan, have resigned and cited government withholding the release of employment survey data for 2017-18 as one of the reasons. ""We felt the commission wasn't being taken seriously...Some of the decisions of the [NSC] weren't also considered. We thought we were being sidelined,"" Mohanan said."
"Singer Shivani Bhatia dies in car accident, husband survives","Singer and stage performer Shivani Bhatia died in a road accident on Tuesday morning, after her car rammed into a divider on the Yamuna Expressway. The singer was accompanied by her husband Nikhil Bhatia, who survived the accident. ""The accident occurred after Nikhil attempted to overtake a high-speed car and lost control of his vehicle,"" said police."
1 more institution died: Chidambaram on stats body resignations,"After the only two non-government members of National Statistical Commission resigned citing lack of involvement in key decisions, Congress leader P Chidambaram tweeted, ""One more venerable institution died...owing to malicious negligence by the government."" He added, ""We...remember with gratitude its valiant fight to release untainted GDP data...May the NSC rest in peace until it is re-born again!"""
Alphabet-backed US health insurance startup raises $500 mn,"Google parent Alphabet-backed US-based health insurance startup Clover Health has raised $500 million in a funding round led by existing investor Greenoaks Capital. As part of the funding, it'll promote its current CTO Andrew Toy to also assume President's role. Founded in 2014 by Vivek Garipalli and Kris Gale, the startup has raised a total of $925 million in funding. "
Porsche Taycan to feature charging faster than Tesla Model S,"German luxury carmaker Porsche has revealed its all-electric Taycan will feature an 800-volt battery that has fast-charging rates of up to 350 kilowatts. Adding over 60 miles of charge in just four minutes, the Taycan will exceed Tesla's Model S which currently absorbs around 120 kilowatts. Porsche also announced three years of free charging at Electrify America charging stations."
"Developer platform raises â¹7 crore from Binny Bansal, others","Developer platform 'Crio.Do' has raised â¹7 crore ($1 million) from investors including Flipkart Co-founder Binny Bansal and B2B online marketplace Udaan's Co-founders Amod Malviya, Vaibhav Gupta and Sujeet Kumar. Mekin Maheshwari, Udhyam Learning Foundation's founder, also participated in the funding round. Founded in 2018, the Bengaluru-based startup offers a learning environment for developers."
NASA's Curiosity rover clicks last selfie on Martian ridge,"NASA's Curiosity rover has shared its last selfie clicked on Mars' Vera Rubin Ridge, which was its home for over a year. A series of 57 pictures were stitched together to create the selfie. Curiosity had drilled its 19th sample at 'Rock Hall' on the ridge on December 15, 2018, which is also visible in the photo, NASA added."
"Jet Airways cancels 15 flights, grounds 6 Boeing 737 planes","Cash-strapped carrier Jet Airways cancelled 15 flights on Wednesday after grounding six Boeing 737 planes over non-payment of lease rentals. Facing debts of about $1.14 billion, Jet Airways had cancelled around 20 flights a day ago after three Boeing 737 aircraft were grounded. Meanwhile, the airline is in talks with its partner Etihad for additional cash infusion."
25-year-old man killed by girlfriend's brothers in Mumbai,"A 25-year-old man named Saif Ali Sharafat Ali was allegedly killed by the two brothers of his girlfriend in Mumbai on Tuesday. The police said Saif was going to marry his girlfriend, whose house he was at when her brothers attacked him. The 19-year-old and 23-year-old brothers, who were opposed to their relationship, fled after the incident but were arrested. "
UK MP jailed for lying to avoid speeding ticket,"UK MP Fiona Onasanya has been jailed for three months after she was found guilty of lying about a speeding ticket. Onasanya was found texting and speeding in an incident last year. She'd said that one of her former tenants was driving her car when it was caught speeding, however, he was found to be in Russia at the time."
"US thieves try to steal TV, return it as it didn't fit in car","Two thieves in Texas, US, took back a flat-screen television inside a house after it did not fit in the vehicle that they had stolen. The entire incident which took place earlier this month was caught on camera on the home surveillance system. The suspects remain at large and authorities have urged the public to help identify them."
Man goes to bank in Spider-Man costume on last working day in Brazil,"A bank employee in Brazil went to work dressed in a Spider-Man costume on his last working day, pictures and videos of whom have gone viral on the internet. A picture shared by a co-worker showed him lying across a desk in the superhero costume. Its caption read, ""Last day of work and this person is driving the boss mad."" "
Alia buys apartment in Mumbai's Juhu for over â¹13 cr: Reports,"Actress Alia Bhatt has reportedly bought a 2,300-square feet apartment for â¹13.11 crore on the first floor of a posh building in Mumbai's Juhu. She also received two open car parks. The 25-year-old actress had earlier reportedly purchased two properties on the second floor of the building from Anupam Kher and Kirron Kher for â¹5.16 crore and â¹3.83 crore. "
73-yr-old wins round-the-world sailing race after 212 days at sea,"French sailor Jean-Luc Van Den Heede on Tuesday won the round-the-world yacht race after 212 days alone at sea without modern instruments. The 73-year-old, who completed his sixth circumnavigation of the globe, became the oldest to complete the 30,000-mile Golden Globe race. Of the 19 sailors who started out last July, only five were still in the race on Tuesday."
Nothing but cricket can make people smile in Afghanistan: Rashid,"Afghanistan leg-spinner Rashid Khan has said that cricket has changed everything in Afghanistan in the last five-six years. ""(We players) just try and give 100% in each and every competition. Everywhere, we try our best to give something to the people back home...There is nothing else that can bring such a smile on their faces,"" Rashid added."
I'll improve myself: Sarfaraz on 4-game suspension over 'Kaale' row,"Pakistan captain Sarfaraz Ahmed, who has been banned for four matches for his 'Abey Kaale' remark to South Africa's Andile Phehlukwayo, said he'll improve himself and his performance in the future. Sarfaraz was called back from South Africa by Pakistan Cricket Board after being banned by the ICC. ""I will rest and then play Pakistan Super League,"" he added."
"Bee attack stops India A's match for 15 minutes, 5 fans injured",A bee attack forced officials to stop play for around 15 minutes during fourth India A-England Lions one-day at Greenfield International Stadium in Thiruvananthapuram on Tuesday. A group of fans provoked the bees by throwing stones at a beehive in the stands during England Lions' 28th over. Around five spectators were injured and taken to a hospital for medical care.
"Pic shows '5,000 troops to Colombia' in notes of US official","US' National Security Advisor John Bolton was photographed with a notepad that had ""5,000 troops to Colombia"" written on it, as he talked to reporters about neighbouring Venezuela. ""As the President has said, all options are on the table,"" a White House spokesperson said when asked if the US would consider taking military option amid the political crisis in Venezuela."
'French Spiderman' arrested for climbing Philippines skyscraper,"Urban free climber Alain Robert, popularly known as the 'French Spiderman', has been arrested in the Philippines after climbing an over 700-foot-tall skyscraper in Manila. ""I see thousands of people inside the building. I did brighten their day,"" Robert said when asked about his climb. He holds the Guinness World Record for 'most buildings climbed', having scaled over 120 structures."
"Tribunal rejects Ruias' â¹54,000-cr settlement bid for Essar Steel","The National Company Law Tribunal has rejected the settlement offer made by Essar Steel's promoters, the Ruia family, to regain control of the company. Ruias made a â¹54,389-crore offer on the day the Committee of Creditors approved ArcelorMittal's â¹42,000-crore resolution plan. ArcelorMittal welcomed the ruling and said it protects the integrity of the Insolvency and Bankruptcy Code (IBC)."
Ghalib's work could only have found meaning in India: Javed,"While speaking about the work of Urdu poet Mirza Ghalib, veteran lyricist-screenwriter Javed Akhtar said, ""[The] language and depth used in his work could have only found meaning in India."" ""His work wouldn't have been nurtured and preserved if not for this country,"" the lyricist added. He further said that Ghalib had an ""amazing range of emotions"". "
Snapchat considering making user posts permanent: Reuters,"Disappearing photo and video-sharing platform Snapchat is considering making its users' posts longer or even permanent, a Reuters report claimed. It is further considering revealing identities of users who make public posts, the report added. The platform is carefully weighing the privacy, technical and legal considerations of revealing user identities on public posts, it further said."
No law says MLAs need to file assets to Lokayukta: AAP,"The Aam Aadmi Party (AAP) on Monday said there is no law which mentions MLAs need to file their assets to the Lokayukta. ""AAP MLAs had filed their assets and liabilities to Election Commission in 2013 elections and then in 2015 elections,"" the party added. AAP will again file the affidavits in 2020 elections detailing the assets, the party said."
Opposition need not project PM face: Sharad Pawar,"Nationalist Congress Party (NCP) chief Sharad Pawar on Tuesday said there's no need to think about the prime ministerial candidate of the proposed grand alliance of opposition parties before 2019 polls. ""We (UPA) hadn't declared a candidate before...2004 election. But we managed to give...successful government for 10 years,"" he added. He further said BJP had failed to keep its promises."
BJP has given green signal to fight again from Mathura: Hema,"BJP MP Hema Malini on Tuesday claimed that she had been given the ""green signal by higher-ups"" of the party to contest again from Mathura. She also promised the people of her constituency ""modernisation"" of the Mathura Junction railway station. The actor-politician also inaugurated various projects at the Mathura Junction."
"Supporters weigh BJPâMLA in coins, donate for his house in MP","BJP leader Sitaram Adivasi, a first-time MLA from Vijaypur constituency in Madhya Pradesh, is being weighed against coins by his supporters to make a concrete house. ""I will definitely pay back their affection with development of the area,"" Adiwasi said. As per his 2018 Assembly Elections affidavit, the 55-year-old owns a tractor on loan, a two-acre land, and â¹46,733."
Bhagwant Mann to take over as Punjab chief of AAP again,"AAP MP Bhagwant Mann will again take charge as the chief of the party's Punjab unit on Wednesday. In March 2018, Mann had tendered his resignation after Kejriwal apologised to Shiromani Akali Dal (SAD) leader Bikram Singh Majithia over allegations of his involvement in drug trade. However, his resignation was rejected by Punjab AAP last week. "
Flipkart CEO opposes revised FDI policy deadline: Report,"Flipkart CEO Kalyan Krishnamurthy reportedly opposed the February 1 deadline of the revised FDI norms on e-commerce saying the regulations could cause ""significant customer disruption"" if the deadline wasn't extended. Reports added, he said the policy imposes conditions that could have undesirable impacts on India's e-commerce growth. His statements were written in letter to DIPP, as per Reuters."
